,equity
2009-05-11,4.727877
2009-05-18,4.727877
2009-05-26,4.71215
2009-06-02,4.769941
2009-06-09,4.804048
2009-06-16,4.695973
2009-06-23,4.615698
2009-06-30,4.66695
2009-07-08,4.512195
2009-07-15,4.650283
2009-07-22,4.75197
2009-07-29,4.821391
2009-08-05,4.853578
2009-08-12,4.865518
2009-08-19,4.777267
2009-08-26,4.887257
2009-09-02,4.767588
2009-09-10,4.99166
2009-09-17,5.080361
2009-09-24,5.03464
2009-10-01,4.917816
2009-10-08,5.041581
2009-10-15,5.139231
2009-10-22,5.123404
2009-10-29,4.971852
2009-11-05,4.979488
2009-11-12,5.053573
2009-11-19,5.067414
2009-11-27,5.040373
2009-12-04,5.151336
2009-12-11,5.144935
2009-12-18,5.195155
2009-12-28,5.381639
2010-01-05,5.42305
2010-01-12,5.361038
2010-01-20,5.382038
2010-01-27,5.217005
2010-02-03,5.149027
2010-02-10,5.063364
2010-02-18,5.225661
2010-02-25,5.211383
2010-03-04,5.325443
2010-03-11,5.492701
2010-03-18,5.545623
2010-03-25,5.559839
2010-04-01,5.571829
2010-04-09,5.691193
2010-04-16,5.754296
2010-04-23,5.867677
2010-04-30,5.707751
2010-05-07,5.343514
2010-05-14,5.4667
2010-05-21,5.2591
2010-05-28,5.169244
2010-06-07,5.085577
2010-06-14,5.077339
2010-06-21,5.115794
2010-06-28,5.043581
2010-07-06,5.043581
2010-07-13,5.043581
2010-07-20,5.043581
2010-07-27,5.061399
2010-08-03,4.95706
2010-08-10,4.94587
2010-08-17,4.767668
2010-08-24,4.767668
2010-08-31,4.767668
2010-09-08,4.767668
2010-09-15,4.794543
2010-09-22,4.845968
2010-09-29,4.914762
2010-10-06,4.920328
2010-10-13,5.044133
2010-10-20,5.074497
2010-10-27,5.162548
2010-11-03,5.238875
2010-11-10,5.318296
2010-11-17,5.10635
2010-11-24,5.244753
2010-12-02,5.307852
2010-12-09,5.373493
2010-12-16,5.412087
2010-12-23,5.470142
2010-12-31,5.444018
2011-01-07,5.54724
2011-01-14,5.654217
2011-01-24,5.576749
2011-01-31,5.540899
2011-02-07,5.713092
2011-02-14,5.781202
2011-02-22,5.656515
2011-03-01,5.610034
2011-03-08,5.665458
2011-03-15,5.483875
2011-03-22,5.512891
2011-03-29,5.634092
2011-04-05,5.691273
2011-04-12,5.599297
2011-04-19,5.599654
2011-04-27,5.847256
2011-05-04,5.764695
2011-05-11,5.798057
2011-05-18,5.73847
2011-05-25,5.632182
2011-06-02,5.655569
2011-06-09,5.4902
2011-06-16,5.38636
2011-06-23,5.397609
2011-06-30,5.539264
2011-07-08,5.680134
2011-07-15,5.565841
2011-07-22,5.678535
2011-07-29,5.510893
2011-08-05,5.464091
2011-08-12,5.464091
2011-08-19,5.464091
2011-08-26,5.464091
2011-09-02,5.464091
2011-09-12,5.464091
2011-09-19,5.464091
2011-09-26,5.464091
2011-10-03,5.464091
2011-10-10,5.464091
2011-10-17,5.464091
2011-10-24,5.464091
2011-10-31,5.440057
2011-11-07,5.414485
2011-11-14,5.389268
2011-11-21,5.389268
2011-11-29,5.389268
2011-12-06,5.389268
2011-12-13,5.389268
2011-12-20,5.389268
2011-12-28,5.389268
2012-01-05,5.389268
2012-01-12,5.433271
2012-01-20,5.544337
2012-01-27,5.603361
2012-02-03,5.78064
2012-02-10,5.777099
2012-02-17,5.872393
2012-02-27,5.901001
2012-03-05,5.869807
2012-03-12,5.935817
2012-03-19,6.124137
2012-03-26,6.21217
2012-04-02,6.20646
2012-04-10,5.950857
2012-04-17,6.053512
2012-04-24,5.901736
2012-05-01,6.063549
2012-05-08,5.885267
2012-05-15,5.796502
2012-05-22,5.680093
2012-05-30,5.672418
2012-06-06,5.559761
2012-06-13,5.497045
2012-06-20,5.645586
2012-06-27,5.560466
2012-07-05,5.699077
2012-07-12,5.547911
2012-07-19,5.685023
2012-07-26,5.58733
2012-08-02,5.60482
2012-08-09,5.796175
2012-08-16,5.875675
2012-08-23,5.858812
2012-08-30,5.850016
2012-09-07,6.01453
2012-09-14,6.10368
2012-09-21,6.096196
2012-09-28,5.97666
2012-10-05,6.014098
2012-10-12,5.841388
2012-10-19,5.769194
2012-10-26,5.736051
2012-11-06,5.781029
2012-11-13,5.644511
2012-11-20,5.644511
2012-11-28,5.644511
2012-12-05,5.584542
2012-12-12,5.467143
2012-12-19,5.428835
2012-12-27,5.326335
2013-01-04,5.339657
2013-01-11,5.375326
2013-01-18,5.392169
2013-01-28,5.425867
2013-02-04,5.38608
2013-02-11,5.490716
2013-02-19,5.527855
2013-02-26,5.383465
2013-03-05,5.545985
2013-03-12,5.577274
2013-03-19,5.554534
2013-03-26,5.594751
2013-04-03,5.536473
2013-04-10,5.671762
2013-04-17,5.512511
2013-04-24,5.61392
2013-05-01,5.657175
2013-05-08,5.824646
2013-05-15,5.916971
2013-05-22,5.90279
2013-05-30,5.950513
2013-06-06,5.835893
2013-06-13,5.872213
2013-06-20,5.734635
2013-06-27,5.791613
2013-07-05,5.914567
2013-07-12,6.114089
2013-07-19,6.093251
2013-07-26,6.135945
2013-08-02,6.263662
2013-08-09,6.2144
2013-08-16,6.1186
2013-08-23,6.210523
2013-08-30,6.097028
2013-09-09,6.291384
2013-09-16,6.310885
2013-09-23,6.390159
2013-09-30,6.400502
2013-10-07,6.398664
2013-10-14,6.473693
2013-10-21,6.648766
2013-10-28,6.68232
2013-11-04,6.676405
2013-11-11,6.648332
2013-11-18,6.697259
2013-11-25,6.773291
2013-12-03,6.844527
2013-12-10,6.883445
2013-12-17,6.821934
2013-12-24,7.042075
2014-01-02,7.021438
2014-01-09,7.043362
2014-01-16,7.147801
2014-01-24,6.99654
2014-01-31,6.95595
2014-02-07,6.962069
2014-02-14,7.118759
2014-02-24,7.185713
2014-03-03,7.154349
2014-03-10,7.247098
2014-03-17,7.15865
2014-03-24,7.071727
2014-03-31,7.02726
2014-04-07,6.836319
2014-04-14,6.772753
2014-04-22,6.942015
2014-04-29,6.871368
2014-05-06,6.835021
2014-05-13,6.918426
2014-05-20,6.862679
2014-05-28,7.077409
2014-06-04,7.1219
2014-06-11,7.256393
2014-06-18,7.30817
2014-06-25,7.336512
2014-07-02,7.46712
2014-07-10,7.364052
2014-07-17,7.309192
2014-07-24,7.491207
2014-07-31,7.319779
2014-08-07,7.261486
2014-08-14,7.459197
2014-08-21,7.591697
2014-08-28,7.634579
2014-09-05,7.676791
2014-09-12,7.651163
2014-09-19,7.671582
2014-09-26,7.558345
2014-10-03,7.497087
2014-10-10,7.17667
2014-10-17,7.173816
2014-10-24,7.231576
2014-10-31,7.397878
2014-11-07,7.399784
2014-11-14,7.487428
2014-11-21,7.526442
2014-12-01,7.549407
2014-12-08,7.57071
2014-12-15,7.354274
2014-12-22,7.629705
2014-12-30,7.624066
2015-01-07,7.44418
2015-01-14,7.432451
2015-01-22,7.607099
2015-01-29,7.511906
2015-02-05,7.62533
2015-02-12,7.771066
2015-02-20,7.920801
2015-02-27,7.932309
2015-03-06,7.877263
2015-03-13,7.792606
2015-03-20,8.028047
2015-03-27,7.822231
2015-04-06,7.861963
2015-04-13,7.969941
2015-04-20,7.979608
2015-04-27,8.079547
2015-05-04,8.013601
2015-05-11,7.978039
2015-05-18,8.107238
2015-05-26,8.037684
2015-06-02,8.104315
2015-06-09,8.008943
2015-06-16,8.072392
2015-06-23,8.231535
2015-06-30,7.975793
2015-07-08,7.809463
2015-07-15,7.99497
2015-07-22,8.10575
2015-07-29,8.063799
2015-08-05,8.114969
2015-08-12,7.964114
2015-08-19,7.924107
2015-08-26,7.572332
2015-09-02,7.572332
2015-09-10,7.572332
2015-09-17,7.572332
2015-09-24,7.572332
2015-10-01,7.572332
2015-10-08,7.572332
2015-10-15,7.572332
2015-10-22,7.572332
2015-10-29,7.592125
2015-11-05,7.61801
2015-11-12,7.55863
2015-11-19,7.551259
2015-11-27,7.57794
2015-12-04,7.578737
2015-12-11,7.46995
2015-12-18,7.41252
2015-12-28,7.430839
2016-01-05,7.375956
2016-01-12,7.375956
2016-01-20,7.375956
2016-01-27,7.375956
2016-02-03,7.375956
2016-02-10,7.375956
2016-02-18,7.375956
2016-02-25,7.375956
2016-03-03,7.375956
2016-03-10,7.375956
2016-03-17,7.375956
2016-03-24,7.375956
2016-04-01,7.436629
2016-04-08,7.302017
2016-04-15,7.344434
2016-04-22,7.296856
2016-04-29,7.140328
2016-05-06,7.140328
2016-05-13,7.140328
2016-05-20,7.140328
2016-05-27,7.215155
2016-06-06,7.266374
2016-06-13,7.091418
2016-06-20,7.096354
2016-06-27,6.818108
2016-07-05,6.800492
2016-07-12,6.98468
2016-07-19,6.997164
2016-07-26,7.068333
2016-08-02,7.102687
2016-08-09,7.223997
2016-08-16,7.226251
2016-08-23,7.27183
2016-08-30,7.220555
2016-09-07,7.304802
2016-09-14,7.152511
2016-09-21,7.320355
2016-09-28,7.352662
2016-10-05,7.349165
2016-10-12,7.242716
2016-10-19,7.252932
2016-10-26,7.258269
2016-11-02,7.058227
2016-11-09,7.140365
2016-11-16,7.199529
2016-11-23,7.316608
2016-12-01,7.140419
2016-12-08,7.366484
2016-12-15,7.420183
2016-12-22,7.40736
2016-12-30,7.319926
2017-01-09,7.522126
2017-01-17,7.531523
2017-01-24,7.616142
2017-01-31,7.634949
2017-02-07,7.715761
2017-02-14,7.863094
2017-02-22,7.96924
2017-03-01,8.028255
2017-03-08,7.937856
2017-03-15,8.022843
2017-03-22,7.916222
2017-03-29,8.019443
2017-04-05,7.974475
2017-04-12,7.935966
2017-04-20,8.045592
2017-04-27,8.225302
2017-05-04,8.261201
2017-05-11,8.316436
2017-05-18,8.233719
2017-05-25,8.437865
2017-06-02,8.574578
2017-06-09,8.441482
2017-06-16,8.365116
2017-06-23,8.519439
2017-06-30,8.349696
2017-07-10,8.398608
2017-07-17,8.586314
2017-07-24,8.71737
2017-07-31,8.632125
2017-08-07,8.680602
2017-08-14,8.621396
2017-08-21,8.448566
2017-08-28,8.543603
2017-09-05,8.669451
2017-09-12,8.77648
2017-09-19,8.786053
2017-09-26,8.675693
2017-10-03,8.881769
2017-10-10,8.957292
2017-10-17,9.006802
2017-10-24,8.972495
2017-10-31,9.148234
2017-11-07,9.202775
2017-11-14,9.162104
2017-11-21,9.331548
2017-11-29,9.279753
2017-12-06,9.214469
2017-12-13,9.34966
2017-12-20,9.46546
2017-12-28,9.450775
2018-01-05,9.70424
2018-01-12,9.873534
2018-01-22,10.073382
2018-01-29,10.152903
2018-02-05,9.474394
2018-02-12,9.395799
2018-02-20,9.601749
2018-02-27,9.683336
2018-03-06,9.713747
2018-03-13,9.810217
2018-03-20,9.628201
2018-03-27,9.159965
2018-04-04,9.116257
2018-04-11,9.059163
2018-04-18,9.216502
2018-04-25,9.013428
2018-05-02,8.954867
2018-05-09,9.044608
2018-05-16,9.096351
2018-05-23,9.129297
2018-05-31,9.148545
2018-06-07,9.378365
2018-06-14,9.528407
2018-06-21,9.471128
2018-06-28,9.166626
2018-07-06,9.26667
2018-07-13,9.432504
2018-07-20,9.425538
2018-07-27,9.325764
2018-08-03,9.415666
2018-08-10,9.448329
2018-08-17,9.420873
2018-08-24,9.577138
2018-08-31,9.774274
2018-09-10,9.550839
2018-09-17,9.516645
2018-09-24,9.634112
2018-10-01,9.687204
2018-10-08,9.323993
2018-10-15,8.895795
2018-10-22,8.854074
2018-10-29,8.854074
2018-11-05,8.854074
2018-11-12,8.815268
2018-11-19,8.815268
2018-11-27,8.815268
2018-12-04,8.815268
2018-12-12,8.815268
2018-12-19,8.815268
2018-12-27,8.815268
2019-01-04,8.815268
2019-01-11,8.815268
2019-01-18,8.815268
2019-01-28,8.815268
