module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,^KS11,2024-06-12,2024-06-13,2764.179931640625,2702.169921875,2024-07-23,exit_a6_1_costbasis,28,0.3529424787297292,False,ohlcv,0.5345934730484698,0.4494454571582681,0.48105262743461435,0.5345934730484698,0.7006925387707535,0.7006925387707535,-0.0851480158902017
A,^KS11,2024-06-13,2024-06-14,2759.219970703125,2707.43994140625,2024-07-23,exit_a6_1_costbasis,27,0.5185568223074035,False,ohlcv,0.9349147299979725,0.47972332630804704,1.269214629569383,0.9349147299979725,0.9349147299979725,1.269214629569383,-0.45519140368992556
A,^KS11,2024-06-28,2024-07-01,2792.9599609375,2761.550048828125,2024-07-23,exit_a6_1_costbasis,16,-0.22040312463565187,False,ohlcv,2.205355407873771,2.0388480820799812,0.07959270918347519,2.205355407873771,3.132455015351133,3.132455015351133,-0.1665073257937896
B,000001.SS,2017-08-25,2017-08-28,3336.13,3016.53,2017-09-26,exit_a6_1_costbasis,21,-0.009750093867334308,False,ohlcv,0.0969649561952434,0.09108260325406659,0.05472465581977405,0.0969649561952434,0.15413016270337854,0.15413016270337854,-0.005882352941176814
B,000001.SS,2018-01-23,2018-01-24,3553.48,3475.67,2018-02-02,structure_stop_C,7,-1.7711538362678378,False,ohlcv,-0.8414085593111406,-2.349697982264491,-4.736152165531426,0.07698239300860797,0.07698239300860797,0.07698239300860797,-1.5082894229533506
B,000001.SS,2018-02-13,2018-02-14,3188.25,3062.74,2018-02-22,exit_a6_1_costbasis,1,0.36755437813720293,False,ohlcv,0.8271850848537964,0.8078240777627257,0.9719544259421525,1.1259660584813953,1.1259660584813953,1.1259660584813953,-0.019361007091070727
B,000001.SS,2018-03-27,2018-03-28,3130.57,3091.46,2018-03-29,exit_a6_1_costbasis,1,-0.16467834313474436,False,ohlcv,0.15494758373817247,1.2679621580158407,-0.33725389925850197,0.9800562515980518,1.9818460751725777,1.9818460751725777,1.1130145742776683
B,000001.SS,2019-11-19,2019-11-20,2928.11,2884.09,2019-11-21,exit_a6_1_costbasis,1,-0.6471628805088565,False,ohlcv,-0.4781917310313537,-0.9861426624261773,-0.24511585642889522,-0.3875511131303942,-0.3875511131303942,-0.24511585642889522,-0.5079509313948236
B,000001.SS,2019-12-13,2019-12-16,2970.97,2857.32,2020-02-03,exit_a6_1_costbasis,28,-2.263448922129351,False,ohlcv,0.2989001319841651,0.29978002639683476,0.9893532776066909,0.45270567531896555,0.45270567531896555,1.005103387593492,0.000879894412669682
B,000001.SS,2020-02-06,2020-02-07,2858.93,2778.86,2020-02-10,exit_a6_1_costbasis,1,-0.01609753965280193,False,ohlcv,0.5887348570001312,2.1383789184463704,1.6535531410016306,0.8488822280504621,2.1383789184463704,2.2572748844760944,1.5496440614462392
B,000001.SS,2020-04-17,2020-04-20,2840.41,2646.8,2020-05-25,exit_a6_1_costbasis,22,-0.13950937451577963,False,ohlcv,-0.16466091627498428,0.19487629771189546,0.29771189504674567,0.0627033727596733,0.19487629771189546,0.29771189504674567,0.35953721398687977
B,000001.SS,2020-12-31,2021-01-04,3474.68,3374.42,2021-02-04,exit_a6_1_costbasis,23,0.2555886694594084,False,ohlcv,0.9518252543387244,0.9146219828446089,1.3172750847795778,1.0125673249551188,1.3331338519848457,1.4619988031119162,-0.03720327149411557
B,000001.SS,2021-05-12,2021-05-13,3432.14,3384.7,2021-06-17,exit_a6_1_costbasis,24,1.5334709106239532,False,ohlcv,1.6614671163575057,3.3983979763912324,3.4780775716694734,2.0419477234401398,3.3983979763912324,4.059232715008431,1.7369308600337268
B,000001.SS,2021-07-29,2021-07-30,3398.2,3312.72,2021-08-02,exit_a6_1_costbasis,1,-0.1861043518951761,False,ohlcv,0.7996022461394519,1.4803462798315388,0.787903603182035,0.9244267664950861,1.5725315863359854,1.5725315863359854,0.6807440336920869
B,000001.SS,2022-02-08,2022-02-09,3450.82,3407.76,2022-02-10,exit_a6_1_costbasis,1,0.6418759869948921,False,ohlcv,-0.10984672549930385,0.14700418021365386,0.8827217835578219,0.8149094287041276,0.9275429633070159,0.9275429633070159,0.2568509057129577
B,000001.SS,2022-02-16,2022-02-17,3464.21,3421.64,2022-02-18,exit_a6_1_costbasis,1,-0.37689006342494147,False,ohlcv,0.5858585858585849,0.4693446088794912,-4.881841672539332,0.6236786469344627,0.6236786469344627,0.6236786469344627,-0.11651397697909366
B,000001.SS,2023-07-11,2023-07-12,3220.38,3189.21,2023-07-13,exit_a6_1_costbasis,1,-0.6705287135065849,False,ohlcv,-0.7237728585178022,0.357394931023415,2.264035931985869,0.5556624959897231,0.5556624959897231,2.266923323708684,1.0811677895412173
B,000001.SS,2023-07-28,2023-07-31,3287.21,3151.13,2023-08-14,exit_a6_1_costbasis,10,-0.9611053057025274,False,ohlcv,0.006393298059963928,-0.7198706643151094,-1.1409465020576153,0.028145208700763737,0.028145208700763737,0.028145208700763737,-0.7262639623750733
B,000001.SS,2024-04-18,2024-04-19,3060.3,3002.06,2024-04-24,exit_a6_1_costbasis,3,-0.5831095467032965,False,ohlcv,-0.1270604395604406,1.5013736263736135,1.4675480769230675,0.08516483516483545,1.5013736263736135,1.618303571428565,1.628434065934054
B,000001.SS,2024-04-25,2024-04-26,3054.98,3019.12,2024-05-31,exit_a6_1_costbasis,22,1.02412214166202,False,ohlcv,2.5867261572782887,2.5317902955939666,2.87200223089792,2.5867261572782887,2.7766313441160015,3.2395426659230244,-0.054935861684322164
B,000001.SS,2025-05-12,2025-05-13,3386.23,3040.69,2025-06-20,exit_a6_1_costbasis,27,-0.08886447299878529,False,ohlcv,-0.05397349076807343,-0.11399548532731342,-0.07018000810325868,0.05128205128205071,0.05128205128205071,0.05128205128205071,-0.06002199455923998
B,000001.SS,2025-06-24,2025-06-25,3419.09,3347.65,2025-10-20,exit_a6_1_costbasis,77,6.201580487122056,True,ohlcv,0.541153415453525,1.0972844344904789,1.2025475923852154,0.541153415453525,1.0972844344904789,1.4076147816349365,0.5561310190369539
B,000001.SS,2026-06-17,2026-06-18,4094.23,3927.85,2026-06-29,exit_a6_1_costbasis,6,-0.4305459189806454,False,ohlcv,0.156569299194613,-0.39265536723163774,-0.3464358696958759,0.41393196297632107,0.41393196297632107,0.41393196297632107,-0.5492246664262507
B,000001.SS,2026-06-30,2026-07-01,4090.76,3992.55,2026-07-03,exit_a6_1_costbasis,2,-0.6466832298136639,False,ohlcv,-1.023521026372064,-1.2588331127176464,-2.3051624070868573,0.22085327359738918,0.22085327359738918,0.22085327359738918,-0.23531208634558257
B,000001.SZ,2025-05-21,2025-05-22,10.492,10.402,2025-07-25,exit_a6_1_costbasis,45,13.683422222221976,True,ohlcv,0.8888888888888538,2.4444444444443874,6.577777777777644,1.111111111111087,4.3333333333332416,6.577777777777644,1.5555555555555336
